Id,Source,Target,Type
1,Orhan Uslu,Ivana Sert,Undirected
2,Ýlker Kurt,Ivana Sert,Undirected
3,Sefa Zengin,Ivana Sert,Undirected
4,Vural Buldu,Ivana Sert,Undirected
5,Selma Güngör,Ivana Sert,Undirected
6,Tuncay Günhan,Ivana Sert,Undirected
7,Ali Sezer Çevik,Ivana Sert,Undirected
8,Oðuz Haksever,Ivana Sert,Undirected
9,Þeyma Kozlu,Ivana Sert,Undirected
10,Ebru Avcý,Ivana Sert,Undirected
11,Erol Polat,Ivana Sert,Undirected
12,Y. Emre Seyrek,Ivana Sert,Undirected
13,Mahir Demir,Ivana Sert,Undirected
14,Muhittin Açýkalýn,Ivana Sert,Undirected
15,Uður Yýldýrým,Ivana Sert,Undirected
16,Ýlker Kurt,Orhan Uslu,Undirected
17,Sefa Zengin,Orhan Uslu,Undirected
18,Vural Buldu,Orhan Uslu,Undirected
19,Selma Güngör,Orhan Uslu,Undirected
20,Tuncay Günhan,Orhan Uslu,Undirected
21,Ali Sezer Çevik,Orhan Uslu,Undirected
22,Oðuz Haksever,Orhan Uslu,Undirected
23,Þeyma Kozlu,Orhan Uslu,Undirected
24,Ebru Avcý,Orhan Uslu,Undirected
25,Erol Polat,Orhan Uslu,Undirected
26,Y. Emre Seyrek,Orhan Uslu,Undirected
27,Mahir Demir,Orhan Uslu,Undirected
28,Muhittin Açýkalýn,Orhan Uslu,Undirected
29,Uður Yýldýrým,Orhan Uslu,Undirected
30,Sefa Zengin,Ýlker Kurt,Undirected
31,Vural Buldu,Ýlker Kurt,Undirected
32,Selma Güngör,Ýlker Kurt,Undirected
33,Tuncay Günhan,Ýlker Kurt,Undirected
34,Ali Sezer Çevik,Ýlker Kurt,Undirected
35,Oðuz Haksever,Ýlker Kurt,Undirected
36,Þeyma Kozlu,Ýlker Kurt,Undirected
37,Ebru Avcý,Ýlker Kurt,Undirected
38,Erol Polat,Ýlker Kurt,Undirected
39,Y. Emre Seyrek,Ýlker Kurt,Undirected
40,Mahir Demir,Ýlker Kurt,Undirected
41,Muhittin Açýkalýn,Ýlker Kurt,Undirected
42,Uður Yýldýrým,Ýlker Kurt,Undirected
43,Vural Buldu,Sefa Zengin,Undirected
44,Selma Güngör,Sefa Zengin,Undirected
45,Tuncay Günhan,Sefa Zengin,Undirected
46,Ali Sezer Çevik,Sefa Zengin,Undirected
47,Oðuz Haksever,Sefa Zengin,Undirected
48,Þeyma Kozlu,Sefa Zengin,Undirected
49,Ebru Avcý,Sefa Zengin,Undirected
50,Erol Polat,Sefa Zengin,Undirected
51,Y. Emre Seyrek,Sefa Zengin,Undirected
52,Mahir Demir,Sefa Zengin,Undirected
53,Muhittin Açýkalýn,Sefa Zengin,Undirected
54,Uður Yýldýrým,Sefa Zengin,Undirected
55,Selma Güngör,Vural Buldu,Undirected
56,Tuncay Günhan,Vural Buldu,Undirected
57,Ali Sezer Çevik,Vural Buldu,Undirected
58,Oðuz Haksever,Vural Buldu,Undirected
59,Þeyma Kozlu,Vural Buldu,Undirected
60,Ebru Avcý,Vural Buldu,Undirected
61,Erol Polat,Vural Buldu,Undirected
62,Y. Emre Seyrek,Vural Buldu,Undirected
63,Mahir Demir,Vural Buldu,Undirected
64,Muhittin Açýkalýn,Vural Buldu,Undirected
65,Uður Yýldýrým,Vural Buldu,Undirected
66,Tuncay Günhan,Selma Güngör,Undirected
67,Ali Sezer Çevik,Selma Güngör,Undirected
68,Oðuz Haksever,Selma Güngör,Undirected
69,Þeyma Kozlu,Selma Güngör,Undirected
70,Ebru Avcý,Selma Güngör,Undirected
71,Erol Polat,Selma Güngör,Undirected
72,Y. Emre Seyrek,Selma Güngör,Undirected
73,Mahir Demir,Selma Güngör,Undirected
74,Muhittin Açýkalýn,Selma Güngör,Undirected
75,Uður Yýldýrým,Selma Güngör,Undirected
76,Ali Sezer Çevik,Tuncay Günhan,Undirected
77,Oðuz Haksever,Tuncay Günhan,Undirected
78,Þeyma Kozlu,Tuncay Günhan,Undirected
79,Ebru Avcý,Tuncay Günhan,Undirected
80,Erol Polat,Tuncay Günhan,Undirected
81,Y. Emre Seyrek,Tuncay Günhan,Undirected
82,Mahir Demir,Tuncay Günhan,Undirected
83,Muhittin Açýkalýn,Tuncay Günhan,Undirected
84,Uður Yýldýrým,Tuncay Günhan,Undirected
85,Oðuz Haksever,Ali Sezer Çevik,Undirected
86,Þeyma Kozlu,Ali Sezer Çevik,Undirected
87,Ebru Avcý,Ali Sezer Çevik,Undirected
88,Erol Polat,Ali Sezer Çevik,Undirected
89,Y. Emre Seyrek,Ali Sezer Çevik,Undirected
90,Mahir Demir,Ali Sezer Çevik,Undirected
91,Muhittin Açýkalýn,Ali Sezer Çevik,Undirected
92,Uður Yýldýrým,Ali Sezer Çevik,Undirected
93,Þeyma Kozlu,Oðuz Haksever,Undirected
94,Ebru Avcý,Oðuz Haksever,Undirected
95,Erol Polat,Oðuz Haksever,Undirected
96,Y. Emre Seyrek,Oðuz Haksever,Undirected
97,Mahir Demir,Oðuz Haksever,Undirected
98,Muhittin Açýkalýn,Oðuz Haksever,Undirected
99,Uður Yýldýrým,Oðuz Haksever,Undirected
100,Ebru Avcý,Þeyma Kozlu,Undirected
101,Erol Polat,Þeyma Kozlu,Undirected
102,Y. Emre Seyrek,Þeyma Kozlu,Undirected
103,Mahir Demir,Þeyma Kozlu,Undirected
104,Muhittin Açýkalýn,Þeyma Kozlu,Undirected
105,Uður Yýldýrým,Þeyma Kozlu,Undirected
106,Erol Polat,Ebru Avcý,Undirected
107,Y. Emre Seyrek,Ebru Avcý,Undirected
108,Mahir Demir,Ebru Avcý,Undirected
109,Muhittin Açýkalýn,Ebru Avcý,Undirected
110,Uður Yýldýrým,Ebru Avcý,Undirected
111,Y. Emre Seyrek,Erol Polat,Undirected
112,Mahir Demir,Erol Polat,Undirected
113,Muhittin Açýkalýn,Erol Polat,Undirected
114,Uður Yýldýrým,Erol Polat,Undirected
115,Mahir Demir,Y. Emre Seyrek,Undirected
116,Muhittin Açýkalýn,Y. Emre Seyrek,Undirected
117,Uður Yýldýrým,Y. Emre Seyrek,Undirected
118,Muhittin Açýkalýn,Mahir Demir,Undirected
119,Uður Yýldýrým,Mahir Demir,Undirected
120,Uður Yýldýrým,Muhittin Açýkalýn,Undirected
121,Haydar Zeytünlü,Furkan Tezcan,Undirected
122,Turgut Güneþ,Furkan Tezcan,Undirected
123,Kenan Balýk,Furkan Tezcan,Undirected
124,Belit Þentürk,Furkan Tezcan,Undirected
125,Soner Karakuþ,Furkan Tezcan,Undirected
126,Ülker Su Osmanoðlu,Furkan Tezcan,Undirected
127,Ýsmail Suat Tuzlu,Furkan Tezcan,Undirected
128,Turgut Güneþ,Haydar Zeytünlü,Undirected
129,Kenan Balýk,Haydar Zeytünlü,Undirected
130,Belit Þentürk,Haydar Zeytünlü,Undirected
131,Soner Karakuþ,Haydar Zeytünlü,Undirected
132,Ülker Su Osmanoðlu,Haydar Zeytünlü,Undirected
133,Ýsmail Suat Tuzlu,Haydar Zeytünlü,Undirected
134,Kenan Balýk,Turgut Güneþ,Undirected
135,Belit Þentürk,Turgut Güneþ,Undirected
136,Soner Karakuþ,Turgut Güneþ,Undirected
137,Ülker Su Osmanoðlu,Turgut Güneþ,Undirected
138,Ýsmail Suat Tuzlu,Turgut Güneþ,Undirected
139,Belit Þentürk,Kenan Balýk,Undirected
140,Soner Karakuþ,Kenan Balýk,Undirected
141,Ülker Su Osmanoðlu,Kenan Balýk,Undirected
142,Ýsmail Suat Tuzlu,Kenan Balýk,Undirected
143,Soner Karakuþ,Belit Þentürk,Undirected
144,Ülker Su Osmanoðlu,Belit Þentürk,Undirected
145,Ýsmail Suat Tuzlu,Belit Þentürk,Undirected
146,Ülker Su Osmanoðlu,Soner Karakuþ,Undirected
147,Ýsmail Suat Tuzlu,Soner Karakuþ,Undirected
148,Ýsmail Suat Tuzlu,Ülker Su Osmanoðlu,Undirected
149,Oðuzhan Koç,Ýbrahim Büyükak,Undirected
150,Ezgi Eyüboðlu,Ýbrahim Büyükak,Undirected
151,Dilber Ay,Ýbrahim Büyükak,Undirected
152,Olgun Toker,Ýbrahim Büyükak,Undirected
153,Kadir Polatçý,Ýbrahim Büyükak,Undirected
154,Bahar Þahin,Ýbrahim Büyükak,Undirected
155,Aycan Koptur,Ýbrahim Büyükak,Undirected
156,Kývanç Baran Arslan,Ýbrahim Büyükak,Undirected
157,Tamer Levent,Ýbrahim Büyükak,Undirected
158,Ülkü Duru,Ýbrahim Büyükak,Undirected
159,Ezgi Eyüboðlu,Oðuzhan Koç,Undirected
160,Dilber Ay,Oðuzhan Koç,Undirected
161,Olgun Toker,Oðuzhan Koç,Undirected
162,Kadir Polatçý,Oðuzhan Koç,Undirected
163,Bahar Þahin,Oðuzhan Koç,Undirected
164,Aycan Koptur,Oðuzhan Koç,Undirected
165,Kývanç Baran Arslan,Oðuzhan Koç,Undirected
166,Tamer Levent,Oðuzhan Koç,Undirected
167,Ülkü Duru,Oðuzhan Koç,Undirected
168,Dilber Ay,Ezgi Eyüboðlu,Undirected
169,Olgun Toker,Ezgi Eyüboðlu,Undirected
170,Kadir Polatçý,Ezgi Eyüboðlu,Undirected
171,Bahar Þahin,Ezgi Eyüboðlu,Undirected
172,Aycan Koptur,Ezgi Eyüboðlu,Undirected
173,Kývanç Baran Arslan,Ezgi Eyüboðlu,Undirected
174,Tamer Levent,Ezgi Eyüboðlu,Undirected
175,Ülkü Duru,Ezgi Eyüboðlu,Undirected
176,Olgun Toker,Dilber Ay,Undirected
177,Kadir Polatçý,Dilber Ay,Undirected
178,Bahar Þahin,Dilber Ay,Undirected
179,Aycan Koptur,Dilber Ay,Undirected
180,Kývanç Baran Arslan,Dilber Ay,Undirected
181,Tamer Levent,Dilber Ay,Undirected
182,Ülkü Duru,Dilber Ay,Undirected
183,Kadir Polatçý,Olgun Toker,Undirected
184,Bahar Þahin,Olgun Toker,Undirected
185,Aycan Koptur,Olgun Toker,Undirected
186,Kývanç Baran Arslan,Olgun Toker,Undirected
187,Tamer Levent,Olgun Toker,Undirected
188,Ülkü Duru,Olgun Toker,Undirected
189,Bahar Þahin,Kadir Polatçý,Undirected
190,Aycan Koptur,Kadir Polatçý,Undirected
191,Kývanç Baran Arslan,Kadir Polatçý,Undirected
192,Tamer Levent,Kadir Polatçý,Undirected
193,Ülkü Duru,Kadir Polatçý,Undirected
194,Aycan Koptur,Bahar Þahin,Undirected
195,Kývanç Baran Arslan,Bahar Þahin,Undirected
196,Tamer Levent,Bahar Þahin,Undirected
197,Ülkü Duru,Bahar Þahin,Undirected
198,Kývanç Baran Arslan,Aycan Koptur,Undirected
199,Tamer Levent,Aycan Koptur,Undirected
200,Ülkü Duru,Aycan Koptur,Undirected
201,Tamer Levent,Kývanç Baran Arslan,Undirected
202,Ülkü Duru,Kývanç Baran Arslan,Undirected
203,Ülkü Duru,Tamer Levent,Undirected
204,Cezmi Baskýn,Ferdi Sancar,Undirected
205,Ersin Korkut,Ferdi Sancar,Undirected
206,Ýlyas Yalçýntaþ,Ferdi Sancar,Undirected
207,Hamdi Kahraman,Ferdi Sancar,Undirected
208,Cem Korkmaz,Ferdi Sancar,Undirected
209,Levent Sülün,Ferdi Sancar,Undirected
210,Efsane Odað,Ferdi Sancar,Undirected
211,Tayfun Sav,Ferdi Sancar,Undirected
212,Nevin Gülbahar,Ferdi Sancar,Undirected
213,Emre Turanlý,Ferdi Sancar,Undirected
214,Ahmet Dursun,Ferdi Sancar,Undirected
215,Ersin Korkut,Cezmi Baskýn,Undirected
216,Ýlyas Yalçýntaþ,Cezmi Baskýn,Undirected
217,Hamdi Kahraman,Cezmi Baskýn,Undirected
218,Cem Korkmaz,Cezmi Baskýn,Undirected
219,Levent Sülün,Cezmi Baskýn,Undirected
220,Efsane Odað,Cezmi Baskýn,Undirected
221,Tayfun Sav,Cezmi Baskýn,Undirected
222,Nevin Gülbahar,Cezmi Baskýn,Undirected
223,Emre Turanlý,Cezmi Baskýn,Undirected
224,Ahmet Dursun,Cezmi Baskýn,Undirected
225,Ýlyas Yalçýntaþ,Ersin Korkut,Undirected
226,Hamdi Kahraman,Ersin Korkut,Undirected
227,Cem Korkmaz,Ersin Korkut,Undirected
228,Levent Sülün,Ersin Korkut,Undirected
229,Efsane Odað,Ersin Korkut,Undirected
230,Tayfun Sav,Ersin Korkut,Undirected
231,Nevin Gülbahar,Ersin Korkut,Undirected
232,Emre Turanlý,Ersin Korkut,Undirected
233,Ahmet Dursun,Ersin Korkut,Undirected
234,Hamdi Kahraman,Ýlyas Yalçýntaþ,Undirected
235,Cem Korkmaz,Ýlyas Yalçýntaþ,Undirected
236,Levent Sülün,Ýlyas Yalçýntaþ,Undirected
237,Efsane Odað,Ýlyas Yalçýntaþ,Undirected
238,Tayfun Sav,Ýlyas Yalçýntaþ,Undirected
239,Nevin Gülbahar,Ýlyas Yalçýntaþ,Undirected
240,Emre Turanlý,Ýlyas Yalçýntaþ,Undirected
241,Ahmet Dursun,Ýlyas Yalçýntaþ,Undirected
242,Cem Korkmaz,Hamdi Kahraman,Undirected
243,Levent Sülün,Hamdi Kahraman,Undirected
244,Efsane Odað,Hamdi Kahraman,Undirected
245,Tayfun Sav,Hamdi Kahraman,Undirected
246,Nevin Gülbahar,Hamdi Kahraman,Undirected
247,Emre Turanlý,Hamdi Kahraman,Undirected
248,Ahmet Dursun,Hamdi Kahraman,Undirected
249,Levent Sülün,Cem Korkmaz,Undirected
250,Efsane Odað,Cem Korkmaz,Undirected
251,Tayfun Sav,Cem Korkmaz,Undirected
252,Nevin Gülbahar,Cem Korkmaz,Undirected
253,Emre Turanlý,Cem Korkmaz,Undirected
254,Ahmet Dursun,Cem Korkmaz,Undirected
255,Efsane Odað,Levent Sülün,Undirected
256,Tayfun Sav,Levent Sülün,Undirected
257,Nevin Gülbahar,Levent Sülün,Undirected
258,Emre Turanlý,Levent Sülün,Undirected
259,Ahmet Dursun,Levent Sülün,Undirected
260,Tayfun Sav,Efsane Odað,Undirected
261,Nevin Gülbahar,Efsane Odað,Undirected
262,Emre Turanlý,Efsane Odað,Undirected
263,Ahmet Dursun,Efsane Odað,Undirected
264,Nevin Gülbahar,Tayfun Sav,Undirected
265,Emre Turanlý,Tayfun Sav,Undirected
266,Ahmet Dursun,Tayfun Sav,Undirected
267,Emre Turanlý,Nevin Gülbahar,Undirected
268,Ahmet Dursun,Nevin Gülbahar,Undirected
269,Ahmet Dursun,Emre Turanlý,Undirected
270,Nuri Alço,Burak Þahin,Undirected
271,Doða Konakoðlu,Burak Þahin,Undirected
272,Hasan Yalnýzoðlu,Burak Þahin,Undirected
273,Kadir Özübek,Burak Þahin,Undirected
274,Bülent Mert,Burak Þahin,Undirected
275,Aytuð Ergen,Burak Þahin,Undirected
276,Taner Þafak,Burak Þahin,Undirected
277,Amir Zakaria,Burak Þahin,Undirected
278,Dila Pekdemir,Burak Þahin,Undirected
279,Akýn Türkmen,Burak Þahin,Undirected
280,Uður Ateþ,Burak Þahin,Undirected
281,Doða Konakoðlu,Nuri Alço,Undirected
282,Hasan Yalnýzoðlu,Nuri Alço,Undirected
283,Kadir Özübek,Nuri Alço,Undirected
284,Bülent Mert,Nuri Alço,Undirected
285,Aytuð Ergen,Nuri Alço,Undirected
286,Taner Þafak,Nuri Alço,Undirected
287,Amir Zakaria,Nuri Alço,Undirected
288,Dila Pekdemir,Nuri Alço,Undirected
289,Akýn Türkmen,Nuri Alço,Undirected
290,Uður Ateþ,Nuri Alço,Undirected
291,Hasan Yalnýzoðlu,Doða Konakoðlu,Undirected
292,Kadir Özübek,Doða Konakoðlu,Undirected
293,Bülent Mert,Doða Konakoðlu,Undirected
294,Aytuð Ergen,Doða Konakoðlu,Undirected
295,Taner Þafak,Doða Konakoðlu,Undirected
296,Amir Zakaria,Doða Konakoðlu,Undirected
297,Dila Pekdemir,Doða Konakoðlu,Undirected
298,Akýn Türkmen,Doða Konakoðlu,Undirected
299,Uður Ateþ,Doða Konakoðlu,Undirected
300,Kadir Özübek,Hasan Yalnýzoðlu,Undirected
301,Bülent Mert,Hasan Yalnýzoðlu,Undirected
302,Aytuð Ergen,Hasan Yalnýzoðlu,Undirected
303,Taner Þafak,Hasan Yalnýzoðlu,Undirected
304,Amir Zakaria,Hasan Yalnýzoðlu,Undirected
305,Dila Pekdemir,Hasan Yalnýzoðlu,Undirected
306,Akýn Türkmen,Hasan Yalnýzoðlu,Undirected
307,Uður Ateþ,Hasan Yalnýzoðlu,Undirected
308,Bülent Mert,Kadir Özübek,Undirected
309,Aytuð Ergen,Kadir Özübek,Undirected
310,Taner Þafak,Kadir Özübek,Undirected
311,Amir Zakaria,Kadir Özübek,Undirected
312,Dila Pekdemir,Kadir Özübek,Undirected
313,Akýn Türkmen,Kadir Özübek,Undirected
314,Uður Ateþ,Kadir Özübek,Undirected
315,Aytuð Ergen,Bülent Mert,Undirected
316,Taner Þafak,Bülent Mert,Undirected
317,Amir Zakaria,Bülent Mert,Undirected
318,Dila Pekdemir,Bülent Mert,Undirected
319,Akýn Türkmen,Bülent Mert,Undirected
320,Uður Ateþ,Bülent Mert,Undirected
321,Taner Þafak,Aytuð Ergen,Undirected
322,Amir Zakaria,Aytuð Ergen,Undirected
323,Dila Pekdemir,Aytuð Ergen,Undirected
324,Akýn Türkmen,Aytuð Ergen,Undirected
325,Uður Ateþ,Aytuð Ergen,Undirected
326,Amir Zakaria,Taner Þafak,Undirected
327,Dila Pekdemir,Taner Þafak,Undirected
328,Akýn Türkmen,Taner Þafak,Undirected
329,Uður Ateþ,Taner Þafak,Undirected
330,Dila Pekdemir,Amir Zakaria,Undirected
331,Akýn Türkmen,Amir Zakaria,Undirected
332,Uður Ateþ,Amir Zakaria,Undirected
333,Akýn Türkmen,Dila Pekdemir,Undirected
334,Uður Ateþ,Dila Pekdemir,Undirected
335,Uður Ateþ,Akýn Türkmen,Undirected
336,Ýrem Sak,Þahin Irmak,Undirected
337,Emre Karayel,Þahin Irmak,Undirected
338,Onur Buldu,Þahin Irmak,Undirected
339,Gonca Vuslateri,Þahin Irmak,Undirected
340,Salih Kalyon,Þahin Irmak,Undirected
341,Bilge Þen,Þahin Irmak,Undirected
342,Ayþenil Þamlýoðlu,Þahin Irmak,Undirected
343,Duygu Yetiþ,Þahin Irmak,Undirected
344,Hakan Alkýn,Þahin Irmak,Undirected
345,Nilgün Belgün,Þahin Irmak,Undirected
346,Murat Karasu,Þahin Irmak,Undirected
347,Beyti Engin,Þahin Irmak,Undirected
348,Doðancan Sarýkaya,Þahin Irmak,Undirected
349,Hakan Bulut,Þahin Irmak,Undirected
350,Toprak Saðlam,Þahin Irmak,Undirected
351,Emre Karayel,Ýrem Sak,Undirected
352,Onur Buldu,Ýrem Sak,Undirected
353,Gonca Vuslateri,Ýrem Sak,Undirected
354,Salih Kalyon,Ýrem Sak,Undirected
355,Bilge Þen,Ýrem Sak,Undirected
356,Ayþenil Þamlýoðlu,Ýrem Sak,Undirected
357,Duygu Yetiþ,Ýrem Sak,Undirected
358,Hakan Alkýn,Ýrem Sak,Undirected
359,Nilgün Belgün,Ýrem Sak,Undirected
360,Murat Karasu,Ýrem Sak,Undirected
361,Beyti Engin,Ýrem Sak,Undirected
362,Doðancan Sarýkaya,Ýrem Sak,Undirected
363,Hakan Bulut,Ýrem Sak,Undirected
364,Toprak Saðlam,Ýrem Sak,Undirected
365,Onur Buldu,Emre Karayel,Undirected
366,Gonca Vuslateri,Emre Karayel,Undirected
367,Salih Kalyon,Emre Karayel,Undirected
368,Bilge Þen,Emre Karayel,Undirected
369,Ayþenil Þamlýoðlu,Emre Karayel,Undirected
370,Duygu Yetiþ,Emre Karayel,Undirected
371,Hakan Alkýn,Emre Karayel,Undirected
372,Nilgün Belgün,Emre Karayel,Undirected
373,Murat Karasu,Emre Karayel,Undirected
374,Beyti Engin,Emre Karayel,Undirected
375,Doðancan Sarýkaya,Emre Karayel,Undirected
376,Hakan Bulut,Emre Karayel,Undirected
377,Toprak Saðlam,Emre Karayel,Undirected
378,Gonca Vuslateri,Onur Buldu,Undirected
379,Salih Kalyon,Onur Buldu,Undirected
380,Bilge Þen,Onur Buldu,Undirected
381,Ayþenil Þamlýoðlu,Onur Buldu,Undirected
382,Duygu Yetiþ,Onur Buldu,Undirected
383,Hakan Alkýn,Onur Buldu,Undirected
384,Nilgün Belgün,Onur Buldu,Undirected
385,Murat Karasu,Onur Buldu,Undirected
386,Beyti Engin,Onur Buldu,Undirected
387,Doðancan Sarýkaya,Onur Buldu,Undirected
388,Hakan Bulut,Onur Buldu,Undirected
389,Toprak Saðlam,Onur Buldu,Undirected
390,Salih Kalyon,Gonca Vuslateri,Undirected
391,Bilge Þen,Gonca Vuslateri,Undirected
392,Ayþenil Þamlýoðlu,Gonca Vuslateri,Undirected
393,Duygu Yetiþ,Gonca Vuslateri,Undirected
394,Hakan Alkýn,Gonca Vuslateri,Undirected
395,Nilgün Belgün,Gonca Vuslateri,Undirected
396,Murat Karasu,Gonca Vuslateri,Undirected
397,Beyti Engin,Gonca Vuslateri,Undirected
398,Doðancan Sarýkaya,Gonca Vuslateri,Undirected
399,Hakan Bulut,Gonca Vuslateri,Undirected
400,Toprak Saðlam,Gonca Vuslateri,Undirected
401,Bilge Þen,Salih Kalyon,Undirected
402,Ayþenil Þamlýoðlu,Salih Kalyon,Undirected
403,Duygu Yetiþ,Salih Kalyon,Undirected
404,Hakan Alkýn,Salih Kalyon,Undirected
405,Nilgün Belgün,Salih Kalyon,Undirected
406,Murat Karasu,Salih Kalyon,Undirected
407,Beyti Engin,Salih Kalyon,Undirected
408,Doðancan Sarýkaya,Salih Kalyon,Undirected
409,Hakan Bulut,Salih Kalyon,Undirected
410,Toprak Saðlam,Salih Kalyon,Undirected
411,Ayþenil Þamlýoðlu,Bilge Þen,Undirected
412,Duygu Yetiþ,Bilge Þen,Undirected
413,Hakan Alkýn,Bilge Þen,Undirected
414,Nilgün Belgün,Bilge Þen,Undirected
415,Murat Karasu,Bilge Þen,Undirected
416,Beyti Engin,Bilge Þen,Undirected
417,Doðancan Sarýkaya,Bilge Þen,Undirected
418,Hakan Bulut,Bilge Þen,Undirected
419,Toprak Saðlam,Bilge Þen,Undirected
420,Duygu Yetiþ,Ayþenil Þamlýoðlu,Undirected
421,Hakan Alkýn,Ayþenil Þamlýoðlu,Undirected
422,Nilgün Belgün,Ayþenil Þamlýoðlu,Undirected
423,Murat Karasu,Ayþenil Þamlýoðlu,Undirected
424,Beyti Engin,Ayþenil Þamlýoðlu,Undirected
425,Doðancan Sarýkaya,Ayþenil Þamlýoðlu,Undirected
426,Hakan Bulut,Ayþenil Þamlýoðlu,Undirected
427,Toprak Saðlam,Ayþenil Þamlýoðlu,Undirected
428,Hakan Alkýn,Duygu Yetiþ,Undirected
429,Nilgün Belgün,Duygu Yetiþ,Undirected
430,Murat Karasu,Duygu Yetiþ,Undirected
431,Beyti Engin,Duygu Yetiþ,Undirected
432,Doðancan Sarýkaya,Duygu Yetiþ,Undirected
433,Hakan Bulut,Duygu Yetiþ,Undirected
434,Toprak Saðlam,Duygu Yetiþ,Undirected
435,Nilgün Belgün,Hakan Alkýn,Undirected
436,Murat Karasu,Hakan Alkýn,Undirected
437,Beyti Engin,Hakan Alkýn,Undirected
438,Doðancan Sarýkaya,Hakan Alkýn,Undirected
439,Hakan Bulut,Hakan Alkýn,Undirected
440,Toprak Saðlam,Hakan Alkýn,Undirected
441,Murat Karasu,Nilgün Belgün,Undirected
442,Beyti Engin,Nilgün Belgün,Undirected
443,Doðancan Sarýkaya,Nilgün Belgün,Undirected
444,Hakan Bulut,Nilgün Belgün,Undirected
445,Toprak Saðlam,Nilgün Belgün,Undirected
446,Beyti Engin,Murat Karasu,Undirected
447,Doðancan Sarýkaya,Murat Karasu,Undirected
448,Hakan Bulut,Murat Karasu,Undirected
449,Toprak Saðlam,Murat Karasu,Undirected
450,Doðancan Sarýkaya,Beyti Engin,Undirected
451,Hakan Bulut,Beyti Engin,Undirected
452,Toprak Saðlam,Beyti Engin,Undirected
453,Hakan Bulut,Doðancan Sarýkaya,Undirected
454,Toprak Saðlam,Doðancan Sarýkaya,Undirected
455,Toprak Saðlam,Hakan Bulut,Undirected
456,Demet Akbað,Ata Demirer,Undirected
457,Gonca Vuslateri,Ata Demirer,Undirected
458,Ýlker Aksum,Ata Demirer,Undirected
459,Tarýk Ünlüoðlu,Ata Demirer,Undirected
460,Erkan Can,Ata Demirer,Undirected
461,Hakan Salýnmýþ,Ata Demirer,Undirected
462,Hande Dane,Ata Demirer,Undirected
463,Ayten Uncuoðlu,Ata Demirer,Undirected
464,Zeynep Alkan,Ata Demirer,Undirected
465,Bilge Yenigül,Ata Demirer,Undirected
466,Ýþtar Gökseven,Ata Demirer,Undirected
467,Rýza Akýn,Ata Demirer,Undirected
468,Deniz Gürzumar,Ata Demirer,Undirected
469,Gonca Vuslateri,Demet Akbað,Undirected
470,Ýlker Aksum,Demet Akbað,Undirected
471,Tarýk Ünlüoðlu,Demet Akbað,Undirected
472,Erkan Can,Demet Akbað,Undirected
473,Hakan Salýnmýþ,Demet Akbað,Undirected
474,Hande Dane,Demet Akbað,Undirected
475,Ayten Uncuoðlu,Demet Akbað,Undirected
476,Zeynep Alkan,Demet Akbað,Undirected
477,Bilge Yenigül,Demet Akbað,Undirected
478,Ýþtar Gökseven,Demet Akbað,Undirected
479,Rýza Akýn,Demet Akbað,Undirected
480,Deniz Gürzumar,Demet Akbað,Undirected
481,Ýlker Aksum,Gonca Vuslateri,Undirected
482,Tarýk Ünlüoðlu,Gonca Vuslateri,Undirected
483,Erkan Can,Gonca Vuslateri,Undirected
484,Hakan Salýnmýþ,Gonca Vuslateri,Undirected
485,Hande Dane,Gonca Vuslateri,Undirected
486,Ayten Uncuoðlu,Gonca Vuslateri,Undirected
487,Zeynep Alkan,Gonca Vuslateri,Undirected
488,Bilge Yenigül,Gonca Vuslateri,Undirected
489,Ýþtar Gökseven,Gonca Vuslateri,Undirected
490,Rýza Akýn,Gonca Vuslateri,Undirected
491,Deniz Gürzumar,Gonca Vuslateri,Undirected
492,Tarýk Ünlüoðlu,Ýlker Aksum,Undirected
493,Erkan Can,Ýlker Aksum,Undirected
494,Hakan Salýnmýþ,Ýlker Aksum,Undirected
495,Hande Dane,Ýlker Aksum,Undirected
496,Ayten Uncuoðlu,Ýlker Aksum,Undirected
497,Zeynep Alkan,Ýlker Aksum,Undirected
498,Bilge Yenigül,Ýlker Aksum,Undirected
499,Ýþtar Gökseven,Ýlker Aksum,Undirected
500,Rýza Akýn,Ýlker Aksum,Undirected
501,Deniz Gürzumar,Ýlker Aksum,Undirected
502,Erkan Can,Tarýk Ünlüoðlu,Undirected
503,Hakan Salýnmýþ,Tarýk Ünlüoðlu,Undirected
504,Hande Dane,Tarýk Ünlüoðlu,Undirected
505,Ayten Uncuoðlu,Tarýk Ünlüoðlu,Undirected
506,Zeynep Alkan,Tarýk Ünlüoðlu,Undirected
507,Bilge Yenigül,Tarýk Ünlüoðlu,Undirected
508,Ýþtar Gökseven,Tarýk Ünlüoðlu,Undirected
509,Rýza Akýn,Tarýk Ünlüoðlu,Undirected
510,Deniz Gürzumar,Tarýk Ünlüoðlu,Undirected
511,Hakan Salýnmýþ,Erkan Can,Undirected
512,Hande Dane,Erkan Can,Undirected
513,Ayten Uncuoðlu,Erkan Can,Undirected
514,Zeynep Alkan,Erkan Can,Undirected
515,Bilge Yenigül,Erkan Can,Undirected
516,Ýþtar Gökseven,Erkan Can,Undirected
517,Rýza Akýn,Erkan Can,Undirected
518,Deniz Gürzumar,Erkan Can,Undirected
519,Hande Dane,Hakan Salýnmýþ,Undirected
