Id,Source,Target,Type
1312,Alev Sayýn,Þemsi Ýnkaya,Undirected
1313,Mehtap Ar,Ayþen Gruda,Undirected
1314,Cevat Kurtuluþ,Ayþen Gruda,Undirected
1315,Zeki Alpan,Ayþen Gruda,Undirected
1316,Erdinç Akbaþ,Ayþen Gruda,Undirected
1317,Nejat Gürçen,Ayþen Gruda,Undirected
1318,Alev Sayýn,Ayþen Gruda,Undirected
1319,Mehtap Ar,Bülent Kayabaþ,Undirected
1320,Cevat Kurtuluþ,Bülent Kayabaþ,Undirected
1321,Erdinç Akbaþ,Bülent Kayabaþ,Undirected
1322,Ahmet Turgutlu,Bülent Kayabaþ,Undirected
1323,Alev Sayýn,Bülent Kayabaþ,Undirected
1324,Cevat Kurtuluþ,Mehtap Ar,Undirected
1325,Zeki Alpan,Mehtap Ar,Undirected
1326,Erdinç Akbaþ,Mehtap Ar,Undirected
1327,Nejat Gürçen,Mehtap Ar,Undirected
1328,Ahmet Turgutlu,Mehtap Ar,Undirected
1329,Alev Sayýn,Mehtap Ar,Undirected
1330,Zeki Alpan,Cevat Kurtuluþ,Undirected
1331,Erdinç Akbaþ,Cevat Kurtuluþ,Undirected
1332,Nejat Gürçen,Cevat Kurtuluþ,Undirected
1333,Ahmet Turgutlu,Cevat Kurtuluþ,Undirected
1334,Alev Sayýn,Cevat Kurtuluþ,Undirected
1335,Erdinç Akbaþ,Zeki Alpan,Undirected
1336,Alev Sayýn,Zeki Alpan,Undirected
1337,Nejat Gürçen,Erdinç Akbaþ,Undirected
1338,Ahmet Turgutlu,Erdinç Akbaþ,Undirected
1339,Alev Sayýn,Erdinç Akbaþ,Undirected
1340,Ahmet Turgutlu,Nejat Gürçen,Undirected
1341,Alev Sayýn,Nejat Gürçen,Undirected
1342,Alev Sayýn,Ahmet Turgutlu,Undirected
1343,Ali Poyrazoðlu,Müjde Ar,Undirected
1344,Güler Ökten,Müjde Ar,Undirected
1345,Hümeyra Akbay,Müjde Ar,Undirected
1346,Nuran Oktar,Müjde Ar,Undirected
1347,Yaman Okay,Müjde Ar,Undirected
1348,Yavuzer Çetinkaya,Müjde Ar,Undirected
1349,Defne Halman,Müjde Ar,Undirected
1350,Dursun Ali Sarýoðlu,Müjde Ar,Undirected
1351,Savaþ Yurttaþ,Müjde Ar,Undirected
1352,Taner Barlas,Müjde Ar,Undirected
1353,Ali Yalaz,Müjde Ar,Undirected
1354,Tayfun Çoraðan,Müjde Ar,Undirected
1355,Ali Yaylý,Müjde Ar,Undirected
1356,Güzin Çoraðan,Müjde Ar,Undirected
1357,Oktay Sözbir,Müjde Ar,Undirected
1358,Muhlis Asan,Müjde Ar,Undirected
1359,Yasemin Alkaya,Müjde Ar,Undirected
1360,Binnaz Ergin,Müjde Ar,Undirected
1361,Güler Ökten,Ali Poyrazoðlu,Undirected
1362,Hümeyra Akbay,Ali Poyrazoðlu,Undirected
1363,Nuran Oktar,Ali Poyrazoðlu,Undirected
1364,Füsun Demirel,Ali Poyrazoðlu,Undirected
1365,Yaman Okay,Ali Poyrazoðlu,Undirected
1366,Yavuzer Çetinkaya,Ali Poyrazoðlu,Undirected
1367,Fatoþ Sezer,Ali Poyrazoðlu,Undirected
1368,Defne Halman,Ali Poyrazoðlu,Undirected
1369,Dursun Ali Sarýoðlu,Ali Poyrazoðlu,Undirected
1370,Savaþ Yurttaþ,Ali Poyrazoðlu,Undirected
1371,Taner Barlas,Ali Poyrazoðlu,Undirected
1372,Ali Yalaz,Ali Poyrazoðlu,Undirected
1373,Tuncay Akça,Ali Poyrazoðlu,Undirected
1374,Mehmet Akan,Ali Poyrazoðlu,Undirected
1375,Tayfun Çoraðan,Ali Poyrazoðlu,Undirected
1376,Ali Yaylý,Ali Poyrazoðlu,Undirected
1377,Güzin Çoraðan,Ali Poyrazoðlu,Undirected
1378,Oktay Sözbir,Ali Poyrazoðlu,Undirected
1379,Muhlis Asan,Ali Poyrazoðlu,Undirected
1380,Yasemin Alkaya,Ali Poyrazoðlu,Undirected
1381,Binnaz Ergin,Ali Poyrazoðlu,Undirected
1382,Hümeyra Akbay,Güler Ökten,Undirected
1383,Nuran Oktar,Güler Ökten,Undirected
1384,Füsun Demirel,Güler Ökten,Undirected
1385,Yaman Okay,Güler Ökten,Undirected
1386,Yavuzer Çetinkaya,Güler Ökten,Undirected
1387,Fatoþ Sezer,Güler Ökten,Undirected
1388,Defne Halman,Güler Ökten,Undirected
1389,Dursun Ali Sarýoðlu,Güler Ökten,Undirected
1390,Savaþ Yurttaþ,Güler Ökten,Undirected
1391,Taner Barlas,Güler Ökten,Undirected
1392,Ali Yalaz,Güler Ökten,Undirected
1393,Tuncay Akça,Güler Ökten,Undirected
1394,Mehmet Akan,Güler Ökten,Undirected
1395,Tayfun Çoraðan,Güler Ökten,Undirected
1396,Ali Yaylý,Güler Ökten,Undirected
1397,Güzin Çoraðan,Güler Ökten,Undirected
1398,Oktay Sözbir,Güler Ökten,Undirected
1399,Muhlis Asan,Güler Ökten,Undirected
1400,Yasemin Alkaya,Güler Ökten,Undirected
1401,Binnaz Ergin,Güler Ökten,Undirected
1402,Nuran Oktar,Hümeyra Akbay,Undirected
1403,Füsun Demirel,Hümeyra Akbay,Undirected
1404,Yaman Okay,Hümeyra Akbay,Undirected
1405,Yavuzer Çetinkaya,Hümeyra Akbay,Undirected
1406,Fatoþ Sezer,Hümeyra Akbay,Undirected
1407,Defne Halman,Hümeyra Akbay,Undirected
1408,Dursun Ali Sarýoðlu,Hümeyra Akbay,Undirected
1409,Savaþ Yurttaþ,Hümeyra Akbay,Undirected
1410,Taner Barlas,Hümeyra Akbay,Undirected
1411,Ali Yalaz,Hümeyra Akbay,Undirected
1412,Tuncay Akça,Hümeyra Akbay,Undirected
1413,Mehmet Akan,Hümeyra Akbay,Undirected
1414,Tayfun Çoraðan,Hümeyra Akbay,Undirected
1415,Ali Yaylý,Hümeyra Akbay,Undirected
1416,Güzin Çoraðan,Hümeyra Akbay,Undirected
1417,Oktay Sözbir,Hümeyra Akbay,Undirected
1418,Muhlis Asan,Hümeyra Akbay,Undirected
1419,Yasemin Alkaya,Hümeyra Akbay,Undirected
1420,Binnaz Ergin,Hümeyra Akbay,Undirected
1421,Füsun Demirel,Nuran Oktar,Undirected
1422,Yaman Okay,Nuran Oktar,Undirected
1423,Yavuzer Çetinkaya,Nuran Oktar,Undirected
1424,Fatoþ Sezer,Nuran Oktar,Undirected
1425,Defne Halman,Nuran Oktar,Undirected
1426,Dursun Ali Sarýoðlu,Nuran Oktar,Undirected
1427,Savaþ Yurttaþ,Nuran Oktar,Undirected
1428,Taner Barlas,Nuran Oktar,Undirected
1429,Ali Yalaz,Nuran Oktar,Undirected
1430,Tuncay Akça,Nuran Oktar,Undirected
1431,Mehmet Akan,Nuran Oktar,Undirected
1432,Tayfun Çoraðan,Nuran Oktar,Undirected
1433,Ali Yaylý,Nuran Oktar,Undirected
1434,Güzin Çoraðan,Nuran Oktar,Undirected
1435,Oktay Sözbir,Nuran Oktar,Undirected
1436,Muhlis Asan,Nuran Oktar,Undirected
1437,Yasemin Alkaya,Nuran Oktar,Undirected
1438,Binnaz Ergin,Nuran Oktar,Undirected
1439,Yaman Okay,Füsun Demirel,Undirected
1440,Yavuzer Çetinkaya,Füsun Demirel,Undirected
1441,Defne Halman,Füsun Demirel,Undirected
1442,Dursun Ali Sarýoðlu,Füsun Demirel,Undirected
1443,Savaþ Yurttaþ,Füsun Demirel,Undirected
1444,Taner Barlas,Füsun Demirel,Undirected
1445,Ali Yalaz,Füsun Demirel,Undirected
1446,Tuncay Akça,Füsun Demirel,Undirected
1447,Tayfun Çoraðan,Füsun Demirel,Undirected
1448,Ali Yaylý,Füsun Demirel,Undirected
1449,Güzin Çoraðan,Füsun Demirel,Undirected
1450,Oktay Sözbir,Füsun Demirel,Undirected
1451,Muhlis Asan,Füsun Demirel,Undirected
1452,Yasemin Alkaya,Füsun Demirel,Undirected
1453,Binnaz Ergin,Füsun Demirel,Undirected
1454,Defne Halman,Yaman Okay,Undirected
1455,Dursun Ali Sarýoðlu,Yaman Okay,Undirected
1456,Savaþ Yurttaþ,Yaman Okay,Undirected
1457,Taner Barlas,Yaman Okay,Undirected
1458,Ali Yalaz,Yaman Okay,Undirected
1459,Tuncay Akça,Yaman Okay,Undirected
1460,Mehmet Akan,Yaman Okay,Undirected
1461,Tayfun Çoraðan,Yaman Okay,Undirected
1462,Ali Yaylý,Yaman Okay,Undirected
1463,Oktay Sözbir,Yaman Okay,Undirected
1464,Muhlis Asan,Yaman Okay,Undirected
1465,Yasemin Alkaya,Yaman Okay,Undirected
1466,Binnaz Ergin,Yaman Okay,Undirected
1467,Defne Halman,Yavuzer Çetinkaya,Undirected
1468,Dursun Ali Sarýoðlu,Yavuzer Çetinkaya,Undirected
1469,Savaþ Yurttaþ,Yavuzer Çetinkaya,Undirected
1470,Taner Barlas,Yavuzer Çetinkaya,Undirected
1471,Ali Yalaz,Yavuzer Çetinkaya,Undirected
1472,Tuncay Akça,Yavuzer Çetinkaya,Undirected
1473,Mehmet Akan,Yavuzer Çetinkaya,Undirected
1474,Tayfun Çoraðan,Yavuzer Çetinkaya,Undirected
1475,Ali Yaylý,Yavuzer Çetinkaya,Undirected
1476,Güzin Çoraðan,Yavuzer Çetinkaya,Undirected
1477,Oktay Sözbir,Yavuzer Çetinkaya,Undirected
1478,Muhlis Asan,Yavuzer Çetinkaya,Undirected
1479,Yasemin Alkaya,Yavuzer Çetinkaya,Undirected
1480,Binnaz Ergin,Yavuzer Çetinkaya,Undirected
1481,Defne Halman,Fatoþ Sezer,Undirected
1482,Dursun Ali Sarýoðlu,Fatoþ Sezer,Undirected
1483,Savaþ Yurttaþ,Fatoþ Sezer,Undirected
1484,Taner Barlas,Fatoþ Sezer,Undirected
1485,Ali Yalaz,Fatoþ Sezer,Undirected
1486,Tuncay Akça,Fatoþ Sezer,Undirected
1487,Tayfun Çoraðan,Fatoþ Sezer,Undirected
1488,Ali Yaylý,Fatoþ Sezer,Undirected
1489,Oktay Sözbir,Fatoþ Sezer,Undirected
1490,Muhlis Asan,Fatoþ Sezer,Undirected
1491,Yasemin Alkaya,Fatoþ Sezer,Undirected
1492,Binnaz Ergin,Fatoþ Sezer,Undirected
1493,Dursun Ali Sarýoðlu,Defne Halman,Undirected
1494,Savaþ Yurttaþ,Defne Halman,Undirected
1495,Taner Barlas,Defne Halman,Undirected
1496,Ali Yalaz,Defne Halman,Undirected
1497,Tuncay Akça,Defne Halman,Undirected
1498,Mehmet Akan,Defne Halman,Undirected
1499,Tayfun Çoraðan,Defne Halman,Undirected
1500,Ali Yaylý,Defne Halman,Undirected
1501,Güzin Çoraðan,Defne Halman,Undirected
1502,Oktay Sözbir,Defne Halman,Undirected
1503,Muhlis Asan,Defne Halman,Undirected
1504,Yasemin Alkaya,Defne Halman,Undirected
1505,Binnaz Ergin,Defne Halman,Undirected
1506,Savaþ Yurttaþ,Dursun Ali Sarýoðlu,Undirected
1507,Taner Barlas,Dursun Ali Sarýoðlu,Undirected
1508,Ali Yalaz,Dursun Ali Sarýoðlu,Undirected
1509,Tuncay Akça,Dursun Ali Sarýoðlu,Undirected
1510,Mehmet Akan,Dursun Ali Sarýoðlu,Undirected
1511,Tayfun Çoraðan,Dursun Ali Sarýoðlu,Undirected
1512,Ali Yaylý,Dursun Ali Sarýoðlu,Undirected
1513,Güzin Çoraðan,Dursun Ali Sarýoðlu,Undirected
1514,Oktay Sözbir,Dursun Ali Sarýoðlu,Undirected
1515,Muhlis Asan,Dursun Ali Sarýoðlu,Undirected
1516,Yasemin Alkaya,Dursun Ali Sarýoðlu,Undirected
1517,Binnaz Ergin,Dursun Ali Sarýoðlu,Undirected
1518,Taner Barlas,Savaþ Yurttaþ,Undirected
1519,Ali Yalaz,Savaþ Yurttaþ,Undirected
1520,Tuncay Akça,Savaþ Yurttaþ,Undirected
1521,Mehmet Akan,Savaþ Yurttaþ,Undirected
1522,Tayfun Çoraðan,Savaþ Yurttaþ,Undirected
1523,Ali Yaylý,Savaþ Yurttaþ,Undirected
1524,Güzin Çoraðan,Savaþ Yurttaþ,Undirected
1525,Oktay Sözbir,Savaþ Yurttaþ,Undirected
1526,Muhlis Asan,Savaþ Yurttaþ,Undirected
1527,Yasemin Alkaya,Savaþ Yurttaþ,Undirected
1528,Binnaz Ergin,Savaþ Yurttaþ,Undirected
1529,Ali Yalaz,Taner Barlas,Undirected
1530,Tuncay Akça,Taner Barlas,Undirected
1531,Mehmet Akan,Taner Barlas,Undirected
1532,Tayfun Çoraðan,Taner Barlas,Undirected
1533,Ali Yaylý,Taner Barlas,Undirected
1534,Güzin Çoraðan,Taner Barlas,Undirected
1535,Oktay Sözbir,Taner Barlas,Undirected
1536,Muhlis Asan,Taner Barlas,Undirected
1537,Yasemin Alkaya,Taner Barlas,Undirected
1538,Binnaz Ergin,Taner Barlas,Undirected
1539,Tuncay Akça,Ali Yalaz,Undirected
1540,Mehmet Akan,Ali Yalaz,Undirected
1541,Tayfun Çoraðan,Ali Yalaz,Undirected
1542,Ali Yaylý,Ali Yalaz,Undirected
1543,Güzin Çoraðan,Ali Yalaz,Undirected
1544,Oktay Sözbir,Ali Yalaz,Undirected
1545,Muhlis Asan,Ali Yalaz,Undirected
1546,Yasemin Alkaya,Ali Yalaz,Undirected
1547,Binnaz Ergin,Ali Yalaz,Undirected
1548,Mehmet Akan,Tuncay Akça,Undirected
1549,Ali Yaylý,Tuncay Akça,Undirected
1550,Güzin Çoraðan,Tuncay Akça,Undirected
1551,Oktay Sözbir,Tuncay Akça,Undirected
1552,Muhlis Asan,Tuncay Akça,Undirected
1553,Yasemin Alkaya,Tuncay Akça,Undirected
1554,Binnaz Ergin,Tuncay Akça,Undirected
1555,Tayfun Çoraðan,Mehmet Akan,Undirected
1556,Ali Yaylý,Mehmet Akan,Undirected
1557,Güzin Çoraðan,Mehmet Akan,Undirected
1558,Oktay Sözbir,Mehmet Akan,Undirected
1559,Muhlis Asan,Mehmet Akan,Undirected
1560,Yasemin Alkaya,Mehmet Akan,Undirected
1561,Binnaz Ergin,Mehmet Akan,Undirected
1562,Ali Yaylý,Tayfun Çoraðan,Undirected
1563,Güzin Çoraðan,Tayfun Çoraðan,Undirected
1564,Oktay Sözbir,Tayfun Çoraðan,Undirected
1565,Muhlis Asan,Tayfun Çoraðan,Undirected
1566,Yasemin Alkaya,Tayfun Çoraðan,Undirected
1567,Binnaz Ergin,Tayfun Çoraðan,Undirected
1568,Güzin Çoraðan,Ali Yaylý,Undirected
1569,Oktay Sözbir,Ali Yaylý,Undirected
1570,Muhlis Asan,Ali Yaylý,Undirected
1571,Yasemin Alkaya,Ali Yaylý,Undirected
1572,Binnaz Ergin,Ali Yaylý,Undirected
1573,Oktay Sözbir,Güzin Çoraðan,Undirected
1574,Muhlis Asan,Güzin Çoraðan,Undirected
1575,Yasemin Alkaya,Güzin Çoraðan,Undirected
1576,Binnaz Ergin,Güzin Çoraðan,Undirected
1577,Muhlis Asan,Oktay Sözbir,Undirected
1578,Yasemin Alkaya,Oktay Sözbir,Undirected
1579,Binnaz Ergin,Oktay Sözbir,Undirected
1580,Yasemin Alkaya,Muhlis Asan,Undirected
1581,Binnaz Ergin,Muhlis Asan,Undirected
1582,Binnaz Ergin,Yasemin Alkaya,Undirected
1583,Nilgün Belgün,Kemal Sunal,Undirected
1584,Necati Bilgiç,Kemal Sunal,Undirected
1585,Leman Çýdamlý,Kemal Sunal,Undirected
1586,Bora Ayanoðlu,Kemal Sunal,Undirected
1587,Mustafa Suphi Baltacý,Kemal Sunal,Undirected
1588,Bedri Uður,Kemal Sunal,Undirected
1589,Necati Bilgiç,Nilgün Belgün,Undirected
1590,Hüseyin Kutman,Nilgün Belgün,Undirected
1591,Nevzat Okçugil,Nilgün Belgün,Undirected
1592,Leman Çýdamlý,Nilgün Belgün,Undirected
1593,Necdet Yakýn,Nilgün Belgün,Undirected
1594,Bora Ayanoðlu,Nilgün Belgün,Undirected
1595,Mustafa Suphi Baltacý,Nilgün Belgün,Undirected
1596,Bedri Uður,Nilgün Belgün,Undirected
1597,Ahmet Açan,Nilgün Belgün,Undirected
1598,Hüseyin Kutman,Necati Bilgiç,Undirected
1599,Nevzat Okçugil,Necati Bilgiç,Undirected
1600,Leman Çýdamlý,Necati Bilgiç,Undirected
1601,Necdet Yakýn,Necati Bilgiç,Undirected
1602,Bora Ayanoðlu,Necati Bilgiç,Undirected
1603,Mustafa Suphi Baltacý,Necati Bilgiç,Undirected
1604,Bedri Uður,Necati Bilgiç,Undirected
1605,Ahmet Açan,Necati Bilgiç,Undirected
1606,Leman Çýdamlý,Hüseyin Kutman,Undirected
1607,Necdet Yakýn,Hüseyin Kutman,Undirected
1608,Bora Ayanoðlu,Hüseyin Kutman,Undirected
1609,Mustafa Suphi Baltacý,Hüseyin Kutman,Undirected
1610,Bedri Uður,Hüseyin Kutman,Undirected
1611,Ahmet Açan,Hüseyin Kutman,Undirected
1612,Leman Çýdamlý,Nevzat Okçugil,Undirected
1613,Necdet Yakýn,Nevzat Okçugil,Undirected
1614,Bora Ayanoðlu,Nevzat Okçugil,Undirected
1615,Mustafa Suphi Baltacý,Nevzat Okçugil,Undirected
1616,Bedri Uður,Nevzat Okçugil,Undirected
1617,Ahmet Açan,Nevzat Okçugil,Undirected
1618,Necdet Yakýn,Leman Çýdamlý,Undirected
1619,Bora Ayanoðlu,Leman Çýdamlý,Undirected
1620,Mustafa Suphi Baltacý,Leman Çýdamlý,Undirected
1621,Bedri Uður,Leman Çýdamlý,Undirected
1622,Ahmet Açan,Leman Çýdamlý,Undirected
1623,Bora Ayanoðlu,Necdet Yakýn,Undirected
1624,Mustafa Suphi Baltacý,Necdet Yakýn,Undirected
1625,Bedri Uður,Necdet Yakýn,Undirected
1626,Ahmet Açan,Necdet Yakýn,Undirected
1627,Mustafa Suphi Baltacý,Bora Ayanoðlu,Undirected
1628,Bedri Uður,Bora Ayanoðlu,Undirected
1629,Ahmet Açan,Bora Ayanoðlu,Undirected
1630,Bedri Uður,Mustafa Suphi Baltacý,Undirected
1631,Ahmet Açan,Mustafa Suphi Baltacý,Undirected
1632,Ahmet Açan,Bedri Uður,Undirected
1633,Asuman Arsan,Kemal Sunal,Undirected
1634,Selma Tarcan,Kemal Sunal,Undirected
1635,Seyfettin Karadayý,Kemal Sunal,Undirected
1636,Erdoðan Akduman,Kemal Sunal,Undirected
1637,Mustafa Suphi,Kemal Sunal,Undirected
1638,Sedat Demir,Kemal Sunal,Undirected
1639,Mike Rafaelyan,Kemal Sunal,Undirected
1640,Hüseyin Kutman,Asuman Arsan,Undirected
1641,Ýhsan Yüce,Asuman Arsan,Undirected
1642,Selma Tarcan,Asuman Arsan,Undirected
1643,Seyfettin Karadayý,Asuman Arsan,Undirected
1644,Erdoðan Akduman,Asuman Arsan,Undirected
1645,Ahmet Açan,Asuman Arsan,Undirected
1646,Mustafa Suphi,Asuman Arsan,Undirected
1647,Sedat Demir,Asuman Arsan,Undirected
1648,Mike Rafaelyan,Asuman Arsan,Undirected
1649,Sabahat Ýzgü,Asuman Arsan,Undirected
1650,Ferdi Akarnur,Asuman Arsan,Undirected
1651,Sýrrý Elitaþ,Asuman Arsan,Undirected
1652,Ýhsan Yüce,Hüseyin Kutman,Undirected
1653,Selma Tarcan,Hüseyin Kutman,Undirected
1654,Seyfettin Karadayý,Hüseyin Kutman,Undirected
1655,Erdoðan Akduman,Hüseyin Kutman,Undirected
1656,Mustafa Suphi,Hüseyin Kutman,Undirected
1657,Sedat Demir,Hüseyin Kutman,Undirected
1658,Mike Rafaelyan,Hüseyin Kutman,Undirected
1659,Sabahat Ýzgü,Hüseyin Kutman,Undirected
1660,Ferdi Akarnur,Hüseyin Kutman,Undirected
1661,Selma Tarcan,Ýhsan Yüce,Undirected
1662,Seyfettin Karadayý,Ýhsan Yüce,Undirected
1663,Erdoðan Akduman,Ýhsan Yüce,Undirected
1664,Mustafa Suphi,Ýhsan Yüce,Undirected
1665,Sedat Demir,Ýhsan Yüce,Undirected
1666,Mike Rafaelyan,Ýhsan Yüce,Undirected
1667,Sabahat Ýzgü,Ýhsan Yüce,Undirected
1668,Ferdi Akarnur,Ýhsan Yüce,Undirected
1669,Seyfettin Karadayý,Selma Tarcan,Undirected
1670,Erdoðan Akduman,Selma Tarcan,Undirected
1671,Ahmet Açan,Selma Tarcan,Undirected
1672,Mustafa Suphi,Selma Tarcan,Undirected
1673,Sedat Demir,Selma Tarcan,Undirected
1674,Mike Rafaelyan,Selma Tarcan,Undirected
1675,Sabahat Ýzgü,Selma Tarcan,Undirected
1676,Ferdi Akarnur,Selma Tarcan,Undirected
1677,Sýrrý Elitaþ,Selma Tarcan,Undirected
1678,Erdoðan Akduman,Seyfettin Karadayý,Undirected
1679,Ahmet Açan,Seyfettin Karadayý,Undirected
1680,Mustafa Suphi,Seyfettin Karadayý,Undirected
1681,Sedat Demir,Seyfettin Karadayý,Undirected
1682,Mike Rafaelyan,Seyfettin Karadayý,Undirected
1683,Sabahat Ýzgü,Seyfettin Karadayý,Undirected
1684,Ferdi Akarnur,Seyfettin Karadayý,Undirected
1685,Sýrrý Elitaþ,Seyfettin Karadayý,Undirected
1686,Ahmet Açan,Erdoðan Akduman,Undirected
1687,Mustafa Suphi,Erdoðan Akduman,Undirected
1688,Sedat Demir,Erdoðan Akduman,Undirected
1689,Mike Rafaelyan,Erdoðan Akduman,Undirected
1690,Sabahat Ýzgü,Erdoðan Akduman,Undirected
1691,Ferdi Akarnur,Erdoðan Akduman,Undirected
1692,Sýrrý Elitaþ,Erdoðan Akduman,Undirected
1693,Mustafa Suphi,Ahmet Açan,Undirected
1694,Sedat Demir,Ahmet Açan,Undirected
1695,Mike Rafaelyan,Ahmet Açan,Undirected
1696,Sabahat Ýzgü,Ahmet Açan,Undirected
1697,Ferdi Akarnur,Ahmet Açan,Undirected
1698,Sedat Demir,Mustafa Suphi,Undirected
1699,Mike Rafaelyan,Mustafa Suphi,Undirected
1700,Sabahat Ýzgü,Mustafa Suphi,Undirected
1701,Ferdi Akarnur,Mustafa Suphi,Undirected
1702,Sýrrý Elitaþ,Mustafa Suphi,Undirected
1703,Mike Rafaelyan,Sedat Demir,Undirected
1704,Sabahat Ýzgü,Sedat Demir,Undirected
1705,Ferdi Akarnur,Sedat Demir,Undirected
1706,Sýrrý Elitaþ,Sedat Demir,Undirected
1707,Sabahat Ýzgü,Mike Rafaelyan,Undirected
1708,Ferdi Akarnur,Mike Rafaelyan,Undirected
1709,Sýrrý Elitaþ,Mike Rafaelyan,Undirected
1710,Ferdi Akarnur,Sabahat Ýzgü,Undirected
1711,Sýrrý Elitaþ,Sabahat Ýzgü,Undirected
1712,Sýrrý Elitaþ,Ferdi Akarnur,Undirected
1713,Baykal Kent,Kemal Sunal,Undirected
1714,Teoman Aksoy,Kemal Sunal,Undirected
1715,Erol Þen,Kemal Sunal,Undirected
1716,Ekrem Dümer,Kemal Sunal,Undirected
1717,Cihan Alp,Kemal Sunal,Undirected
1718,Hakký Kývanç,Suna Yýldýzoðlu,Undirected
1719,Asuman Arsan,Suna Yýldýzoðlu,Undirected
1720,Yadigar Ejder,Suna Yýldýzoðlu,Undirected
1721,Dinçer Çekmez,Suna Yýldýzoðlu,Undirected
1722,Zeki Sezer,Suna Yýldýzoðlu,Undirected
1723,Baykal Kent,Suna Yýldýzoðlu,Undirected
1724,Süheyl Egriboz,Suna Yýldýzoðlu,Undirected
1725,Coþkun Göðen,Suna Yýldýzoðlu,Undirected
1726,Tuncer Sevi,Suna Yýldýzoðlu,Undirected
1727,Ünal Gürel,Suna Yýldýzoðlu,Undirected
1728,Teoman Aksoy,Suna Yýldýzoðlu,Undirected
1729,Erol Þen,Suna Yýldýzoðlu,Undirected
1730,Ekrem Dümer,Suna Yýldýzoðlu,Undirected
1731,Cihan Alp,Suna Yýldýzoðlu,Undirected
1732,Asuman Arsan,Hakký Kývanç,Undirected
1733,Yadigar Ejder,Hakký Kývanç,Undirected
1734,Dinçer Çekmez,Hakký Kývanç,Undirected
1735,Baykal Kent,Hakký Kývanç,Undirected
1736,Coþkun Göðen,Hakký Kývanç,Undirected
1737,Tuncer Sevi,Hakký Kývanç,Undirected
1738,Teoman Aksoy,Hakký Kývanç,Undirected
1739,Erol Þen,Hakký Kývanç,Undirected
1740,Ekrem Dümer,Hakký Kývanç,Undirected
1741,Cihan Alp,Hakký Kývanç,Undirected
1742,Yadigar Ejder,Asuman Arsan,Undirected
1743,Dinçer Çekmez,Asuman Arsan,Undirected
1744,Zeki Sezer,Asuman Arsan,Undirected
1745,Baykal Kent,Asuman Arsan,Undirected
1746,Süheyl Egriboz,Asuman Arsan,Undirected
1747,Coþkun Göðen,Asuman Arsan,Undirected
1748,Tuncer Sevi,Asuman Arsan,Undirected
1749,Ünal Gürel,Asuman Arsan,Undirected
1750,Teoman Aksoy,Asuman Arsan,Undirected
1751,Erol Þen,Asuman Arsan,Undirected
1752,Ekrem Dümer,Asuman Arsan,Undirected
1753,Cihan Alp,Asuman Arsan,Undirected
1754,Dinçer Çekmez,Yadigar Ejder,Undirected
1755,Zeki Sezer,Yadigar Ejder,Undirected
1756,Baykal Kent,Yadigar Ejder,Undirected
1757,Süheyl Egriboz,Yadigar Ejder,Undirected
1758,Coþkun Göðen,Yadigar Ejder,Undirected
1759,Tuncer Sevi,Yadigar Ejder,Undirected
1760,Ünal Gürel,Yadigar Ejder,Undirected
1761,Teoman Aksoy,Yadigar Ejder,Undirected
1762,Erol Þen,Yadigar Ejder,Undirected
1763,Ekrem Dümer,Yadigar Ejder,Undirected
1764,Cihan Alp,Yadigar Ejder,Undirected
1765,Zeki Sezer,Dinçer Çekmez,Undirected
1766,Baykal Kent,Dinçer Çekmez,Undirected
1767,Süheyl Egriboz,Dinçer Çekmez,Undirected
1768,Coþkun Göðen,Dinçer Çekmez,Undirected
1769,Ünal Gürel,Dinçer Çekmez,Undirected
1770,Teoman Aksoy,Dinçer Çekmez,Undirected
1771,Erol Þen,Dinçer Çekmez,Undirected
1772,Ekrem Dümer,Dinçer Çekmez,Undirected
1773,Cihan Alp,Dinçer Çekmez,Undirected
1774,Baykal Kent,Zeki Sezer,Undirected
1775,Coþkun Göðen,Zeki Sezer,Undirected
1776,Tuncer Sevi,Zeki Sezer,Undirected
1777,Teoman Aksoy,Zeki Sezer,Undirected
1778,Erol Þen,Zeki Sezer,Undirected
1779,Ekrem Dümer,Zeki Sezer,Undirected
1780,Cihan Alp,Zeki Sezer,Undirected
1781,Süheyl Egriboz,Baykal Kent,Undirected
1782,Coþkun Göðen,Baykal Kent,Undirected
1783,Tuncer Sevi,Baykal Kent,Undirected
1784,Ünal Gürel,Baykal Kent,Undirected
1785,Teoman Aksoy,Baykal Kent,Undirected
1786,Erol Þen,Baykal Kent,Undirected
1787,Ekrem Dümer,Baykal Kent,Undirected
1788,Cihan Alp,Baykal Kent,Undirected
1789,Coþkun Göðen,Süheyl Egriboz,Undirected
1790,Tuncer Sevi,Süheyl Egriboz,Undirected
1791,Teoman Aksoy,Süheyl Egriboz,Undirected
1792,Erol Þen,Süheyl Egriboz,Undirected
1793,Ekrem Dümer,Süheyl Egriboz,Undirected
1794,Cihan Alp,Süheyl Egriboz,Undirected
1795,Tuncer Sevi,Coþkun Göðen,Undirected
1796,Ünal Gürel,Coþkun Göðen,Undirected
1797,Teoman Aksoy,Coþkun Göðen,Undirected
1798,Erol Þen,Coþkun Göðen,Undirected
1799,Ekrem Dümer,Coþkun Göðen,Undirected
1800,Cihan Alp,Coþkun Göðen,Undirected
1801,Ünal Gürel,Tuncer Sevi,Undirected
1802,Teoman Aksoy,Tuncer Sevi,Undirected
